,text,Kirtan - eval,Kirtan - actionable,Reeshad - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable,Reeshan - eval,emotion,emotion_score
135,calgary pedestrians really do be thinking cyclist-only pathways infringe upon their rights and freedoms,F,,,NA,T,NA,T,anger,0.9214038252830505
136,@sssssshyone I do appreciate the bike lanes in Calgary because it’s been a long while since I have been stuck behind a cyclist while driving in the city.,T,NA,,NA,T,NA,T,joy,0.6585645079612732
137,"@KenBoessenkool @JyotiGondek @ryanjespersen The inside control is here.

Incoming Alberta bread lines.

Maybe Calgary and Edmonton can convert all the streets to bike lanes. That should fix it.",F,NA,,A,F,NA,T,joy,0.9053070545196533
138,@rainbeausnap @AlbertaBeluga @cspotweet @jvipondmd So you can finally get a bike lane from Edmonton to Calgary?,F,,,NA,T,NA,T,joy,0.9957985281944275
139,One Twitter thread started a new Airdrie/Calgary bike path. Let's see if a full day of door-knocking with @Matticusssss can help bring a complete multimodal transportation network closer to reality. #yycvote #yyccc https://t.co/QQ1WLBUVch,T,NA,,NA,T,NA,T,joy,0.955330491065979
140,"@andrew_leach Cyclists on roads scare the shit out of me, especially on the 1A out of Calgary.

The small sliver of road they are on, the gravel on the side and the semis whipping by, are terrifying.

We need better infrastructure throughout the city and popular bike routes to ensure safety.",F,NA,,A,F,NA,T,fear,0.9039599299430847
141,"@aaronhoyland Calgary did do the working bike lane thing first, but I think we might've passed them.",F,,,NA,T,NA,T,joy,0.8117026686668396
142,"Building a network with direct routing, and making it safe for cycling is the key to a more vibrant and accessible Calgary. It is inline with change to protect the environment, increase traffic for local business, and a healthier population  #yyc #yycbike https://t.co/OTE5PcJnR0",T,NA,,NA,T,NA,T,joy,0.9983955025672913
143,"@HappyintheWest Heh, but at least we have lots of hardly-used bike lanes in Calgary!",T,NA,,NA,T,NA,T,anger,0.6596785187721252
144,@CityFredGov Love art and sculpture but love bike lanes more - doesn’t Calgary have a blue circle on one of their Bike Trails? Shouldn’t Fredericton be celebrating their beautiful bike trails with art and sculptures? What’s beautiful about more cars on the road?  We need less cars on the road,T,NA,,A,T,A,T,joy,0.9969562292098999
145,Calgary why can’t we do this? A network of bike paths that are 80% linked!!! @JyotiGondek @yycbike2school @bikecalgary @ClimateHubYYC @YYC4TranspChoic @awesome_calgary  We can &amp; we must #ClimateCrisis #NetZero #ClimateAction #ClimateEmergency #ClimateJustice #activetransportation https://t.co/Biakf2VyC5,T,A,,A,T,NA,T,joy,0.989082932472229
146,"@Mcmatteo_ Over 1,000 Km’s of bike paths in Calgary already, so look at them to what? #yyccc",T,NA,,NA,T,NA,T,joy,0.4451841711997986
147,@PaulDechene *eyes up Calgary and Vancouver bike lanes*,T,NA,,NA,T,NA,T,joy,0.5465106964111328
148,@markiemoose @thegarneau @bikeedmonton @michaeljanz @CityofEdmonton I have watched cars turn into bike lanes more than once - today even - in Calgary,T,NA,,NA,T,NA,T,fear,0.7859736680984497
149,Biking in #YYC is getting serious. Last summer bike sales went up like never before. Great to see these new lanes and car free streets. Need more of them. Keep it up Calgary! @yyctransport @calgarytransit https://t.co/EfZo089ipq,T,NA,,NA,T,NA,T,joy,0.9944909811019897
150,@JeromyYYC Expand Calgary's physically separated cycletrack network into the suburbs so Calgarians that do not live close to great parks can safely cycle to them. #yycbike #equity,T,NA,,A,T,NA,T,joy,0.40844181180000305
151,"I think everyone needs a gentle reminder that bike lanes are not the best place to dump snow.

This is what it looked like all the way up 5 st downtown this morning 

@gccarra @CWalcottYYC @cityofcalgary #yyccc #yycbike https://t.co/3HbHcvMXGp",T,NA,,A,F,NA,T,love,0.8631148338317871
152,"Its not a scientific analysis, but as a 40 year Calgary bike commuter i would have put Northmount - 10th Street at the very top of my bike infrastructure priority list - not in the pile titled 'if we get some money'. https://t.co/5DCaSBKW3m",T,NA,,A,T,NA,T,joy,0.905985951423645
153,"Shit. I’d love almost every trip I do by bike to be less stressful, too. At the price of the ring road, I could probably have that exactly everywhere in Calgary, maintained year round, too. https://t.co/2FusdSTvNN",T,NA,,NA,T,A,T,sadness,0.940173327922821
154,"45th Street SW and 41 Ave SW in Calgary is a residential area and a signed bike route no less, yet look at the wide turn radius at this intersection built for speed, putting all road users at risk. Now, watch the short graphic below on the necessary design intervention. https://t.co/C1UrOluG0R https://t.co/NoRGyqKhWg",T,A,,NA,T,A,T,fear,0.7513418793678284
155,@calgaryherald It’d be great if they added another 5000km of bike lanes in Calgary… 🙄,T,NA,,A,T,NA,T,joy,0.9955005049705505
156,"@peteremcc @CindylouAB Build a bike lane Jyoti, you are not the PM or Premier.
COME ON CALGARY, YOU COULD HAVE DONE BETTER!!!",F,NA,,NA,F,NA,T,joy,0.5209948420524597
157,"My wishes: Protected bike lane, dedicated bus lane &amp; frequent bus service, continuous &amp; connected sidewalks on Calgary Trail &amp; Gateway Blvd. Drivers would still have at least 3 lanes.
#yeg #yegbike #yegwalk https://t.co/OPtJq80GJB",F,NA,,A,F,NA,T,joy,0.9763304591178894
158,"YYC to Bragg Creek- can we please invest in proper bike trail infrastructure?Driving by bikes, often multiples riding side by side, is frightening. How about a trail like they have for Canmore to Banff? #yycbike #YYC",T,A,,A,T,A,T,fear,0.9948758482933044
159,"@karrieporter @modacitylife @someday_books @TomFloodOne @AlexGanassini I grew up in St. Catharines and live in Calgary. When I visit, I take my bike with, so I've seen the connected network of bike lanes. I'm happy that this and shifting from car-dependency are areas of focus, to make a good system better, and I want to extend you good wishes.",T,NA,,NA,T,NA,T,joy,0.9983592629432678
160,"@GlobeDebate We do not, not need anymore bike lane. When Calgary finally gets a new mayor, Calgary can remove half of them!!!",T,NA,,A,T,A,T,joy,0.7249355316162109
161,@DShepYEG I  like how the tracks are on one side and bike paths get some space on the other. Calgary should have done this too.,T,A,,NA,T,NA,T,joy,0.9038410782814026
162,"@ChMacArthur @SilveryCurls @laureljeanine @robert_billard @RohanS26656312 I have advocated since the beginning that this is the place to try a car-free tower. Calgary has one and it's great. Lots of bike share, some car share. People who don't want cars choose to live there.",T,NA,,NA,T,NA,T,joy,0.9773634672164917
163,"@bikecalgary @itsakev Disappointed, but not surprised, to see the disparity in #yycbike infrastructure in Calgary. This bias is the biggest barrier to the acceptance of cycling as a meaningful transportation alternative in this city.",T,NA,,NA,T,NA,T,joy,0.973969578742981
164,"Cheers: that this route has now opened &amp; provides a safe way to bypass Eau Claire pathway &amp; for many Calgarians to access the residences, businesses &amp; offices along 3rd Ave via #yycbike

Jeers: that it's still referred to as a detour &amp; not a permanent addition to the bike network https://t.co/h5dMYii9k8",F,NA,,NA,F,NA,T,joy,0.9552623629570007
165,Here's a good article about how the #COVID19 bike lanes helped make Canadian cities such as Toronto more accessible. #BikeTO #ottbike #VeloMTL #BikeWPG #YYCbike #YEGbike #BikeYVR #BikeTwitter #VisionZero https://t.co/LAkasDkymw,T,NA,,NA,T,A,T,joy,0.9942465424537659
166,Interesting to see how walking and cycling are handled in this study of the Upper Levels highway on the North Shore compared with recent work on Deerfoot Trail in Calgary.  #yycbike #yycwalk https://t.co/wbvXlPdUm0,T,NA,,NA,T,NA,T,joy,0.8294118642807007
167,"Calgary is looking to adopt a new ""Neighbourhood Streets Pilot Policy"" which could be used to evaluate and implement new projects that calm traffic and create safer routes for walking and wheeling. You can provide feedback until Friday, Dec. 17: https://t.co/iCrUPMK1XX #yycbike",T,NA,,A,T,A,T,joy,0.993981659412384
168,Imagine #yegbike if we could have actual pathways along Gateway &amp; Calgary Trail instead of..... nothing.  Not even a sidewalk in most places south of old Strathcona. #yegcc https://t.co/CV4mXWE6yZ,T,A,,A,T,NA,T,joy,0.6359446048736572
169,"Bike Calgary, in partnership with the AAN Transportation table, are working on an educational campaign regarding safety on shared pathways. They have come up with a quick survey to gather information to support the campaign: https://t.co/qKpsmnqapM @bikecalgary @CPAlberta https://t.co/CsZy6RxDgV",T,A,,NA,T,A,T,joy,0.9906506538391113
170,@klaszus Nose Creek Valley bike/pedestrian infrastructure from 96 Ave North. It’s a disaster. and Airdrie is investigating a bike path to Calgary that would come in through this valley. Also @nose_creek should be a protected park. Instead they are focusing on industrializing it. #Ward3yyc https://t.co/7z5HfeuKSV,T,NA,,A,T,NA,T,joy,0.7002896070480347
171,"@biodegabriel @GlobeDebate No we need less bike lanes. They conjest traffic . In calgary they clear the bike lanes of snow, but not the sidewalks. Morons",T,NA,,A,T,NA,T,anger,0.9080108404159546
172,"@KittEdotca @ManonMasse_Qs I'm definitely in favour of more dedicated bike lanes. Or rewriting rules that don't work. I've always been.

Dedicated lanes are both safe and pleasant.

I commuted by bike in Calgary for a while thanks to what I referred to as the bicycle freeway on 12th Ave SW.",F,NA,,NA,F,NA,T,joy,0.9988512992858887
173,@CallawayLong @DustyRoseYYC Jyoti thinks bike lanes will save Calgary from destruction.  Downtown is empty - those head offices will not be coming back.,T,NA,,NA,T,NA,T,sadness,0.9863073229789734
174,Amsterdam Continues to Lead with the Appointment of a Bike Mayor | Momentum Mag https://t.co/N6kua8S2PH Hey Calgary we could be a leader in North America for all things bike related. Already have a start with pathways. @JyotiGondek @cityofcalgary @SustainableYYC @bikecalgary,T,NA,,NA,T,NA,T,joy,0.9912080764770508
175,"@GlobalCalgary @garybtvnews @cityofcalgary How is this even a story to begin with? Calgary had an active transportation plan, this project has been engaged with and an obligation to build safe streets for everybody. Any time a bike lane is built isn't news worthy you're just trying to divide people.
#yyc #yycvote",F,NA,,NA,F,NA,T,joy,0.9985107779502869
176,"Oh happy day there are new bike paths in Calgary! Check out the digital map from @CurrieLife [sponsored] #yycliving #currie #curriebikemap
⬇️⬇️⬇️
 https://t.co/xg3Be2qFIg https://t.co/5ZlKyeei7D",F,NA,,NA,F,NA,T,joy,0.993327260017395
177,"Since drivers in #yyc STILL can’t figure out that you aren’t supposed to drive in a bike lane, how about putting up dividers to protect ALL Calgary bike lanes, and the riders using them?",T,A,,A,T,A,T,anger,0.827619731426239
178,Bike lanes are freshly cleared in Calgary as well even in the suburbs. Pictures forthcoming. https://t.co/IZyGAJ1fwa,T,NA,,NA,T,NA,T,joy,0.9673271775245667
179,@kjc_2599 @cityofcalgary @UCalgary Knowing the City of Calgary they'll rip out half the parking lot so they can put in a bike path and scooter parking.,T,NA,,NA,T,NA,T,anger,0.8621097207069397
180,"I never thought I'd see Calgary road signs while on my bike. Riding on 41 street was good, until I had to ride on the road (no MUP) to 170 st.

A ""backroad"" that speedy cars love but we're VERY kind in passing distance to me. https://t.co/fGtmMRSx0F",F,NA,,NA,F,NA,T,joy,0.9984582662582397
181,@thejcorn There is a lot of transit nearby. More bike parking is possible. Vehicle use will persist as Calgary is spread out and visitors to this business can come from far reaches. Balanced mode of transportation  is required.,T,NA,,A,T,NA,T,joy,0.9913103580474854
182,Would love to see these on Calgary pathways where there are parallel walk and bike paths or unprotected bicycle gutters on streets. @yyctransport @CalgaryParks #yycbike https://t.co/iJNCJ1ILUR,T,NA,,A,T,NA,T,fear,0.8992267847061157
183,"I love that Calgary, a car-oriented sprawled city with a population density of ~1300/sq km (3400/sq mi) and headquarters to multiple oil/gas companies, is actively building out a network of bike infrastructure! https://t.co/uKeCYrqPLY",T,NA,,NA,T,NA,T,joy,0.9436502456665039
184,"Stop by Friday, Oct 8
3:30-5:30 pm
Bike path entrance behind Bishop's Manor (200 Nina Gardens NE, #Calgary, AB T2E 7X6)

This is a joint project by @FWDhousing &amp; @BRCAssociation. 

We will do our best to make this an #accessible #yycevent for all ages &amp; abilities. 

💚🙌🏽🧡🙌🏼💙 https://t.co/WSKMDhhwAK",F,NA,,NA,F,NA,T,joy,0.9947723746299744
185,"CCA Student Mapping Competition Entry #CCA2021

""Cycling in Calgary: Is the current bike infrastructure meeting the demands within the city boundary?"" Yichun Du, Ryerson University

https://t.co/ZMRruIeK8V

#CCAmaps #cartography https://t.co/Tr6BeHhhWj",F,NA,,NA,F,NA,T,joy,0.45292335748672485
186,"29th street Calgary - where you can get yelled at for #yycbike biking on the shared ""pathway""* and honked at for taking the lane in the same 100m.
*to be fair it is confusing that it is a shared pathway because it seems like a sidewalk.
WhY dOnT BikeRidERS FolLow tHE RulEs?",F,NA,,NA,F,NA,T,anger,0.9417285323143005
187,"@ToulasTake Half the cyclists in Montreal are allergic to bike lanes. 

Because it makes it harder to switch from vehicle to pedestrian? Because rules are not Mtl cool?

We had a lane kike that in Calgary on 12th Ave SW when I lived there and my wife and I both used it extensively.",F,NA,,NA,F,NA,T,joy,0.7538787126541138
188,@StoreFrontExp There was some talk last term of creating city wide permit parking on every street in Calgary. Whether those funds would go into bike lanes...unknown.,T,NA,,NA,T,NA,T,fear,0.9210007190704346
189,@brettdrc @craigminielly @j_mcelroy they absolutely ruined pedestrian and cycle pathways in Calgary.  I really hope the parasitic scooters don't overtake Vancouver.  Montrealers voiced their opinions about how awful they are for good reason,T,NA,,NA,T,NA,T,sadness,0.9987529516220093
190,"A milestone #yycbike for Sam and me. Thirty kilometres! Sam picked the destination, and I assembled a safe route based on years and years of local bicycling knowledge. Way-finding would be a welcome addition to Calgary pathways and bikeways. https://t.co/b5HmXZyPBF",T,NA,,A,T,NA,T,joy,0.9986324906349182
191,@seanchucalgary @yycchinatown More bike lanes? Theres no traffic. Downtown is on life support. Starbucks cant survive and is moving +15 locations to outside the core. Yet parking rates are still ridiculously high and the City of Calgary army of ticket writers are very busy and still employed.,T,NA,,NA,T,NA,T,joy,0.8464522957801819
192,@Matticusssss @maijasauna I'm looking forward to the full roundup of bike access to Calgary's 10 worst neighbourhoods.,T,NA,,NA,T,NA,T,joy,0.8868728280067444
193,"Going forward, Calgary's #5ANetwork of bikeways &amp; pathways will become more welcoming to children, seniors and people with mobility challenges. (image: pg4 of 5ANetwork Guiding Principles ) 6/ https://t.co/IB9eGpW42b",T,NA,,NA,T,NA,T,love,0.796999990940094
194,"Matthew made a conscientious choice to replace car trips with bike trips for work. While Calgary has great SNIC plans for active modes, too often the value of those plans are undermined by unreliable outcomes. We must do more to support a growing community of Matthews. https://t.co/UjZMSbqf5f",T,NA,,A,T,NA,T,sadness,0.984767496585846
195,Riding a bike on a #stroad in Calgary😱 How many stroads are still in Montreal ? Hopefully Henri-Bourassa Blvd will be fixed with the #revmtl ! #activemobility #urbanism https://t.co/t1fetA7bij,T,NA,,A,T,A,T,joy,0.9879592657089233
196,"End of an era? Progressive mayors in Calgary and Edmonton to make their exits, via @edmontonjournal … good riddance Bike Lane Don don’t let the door hit you on your ass on the way out  https://t.co/cmggQE4uu3",T,NA,,NA,T,NA,T,anger,0.9667204022407532
197,@Coprolithic A BIKE LANE BEING SHOVELED RIP FOREVER CALGARY 😭,T,NA,,NA,T,NA,T,anger,0.5243918895721436
198,"@Wheelevolution Anything bike path related in Calgary is like an awesome round of frogger...   Pedestrians, cars, pylons, concrete barriers in the wrong places broken sidewalks....   Just make sure you Zig when you're supposed to zig....   I enjoy the good with the bad.  Best I can put it. Ha Ha https://t.co/o5qaFBU4Jc",T,NA,,NA,T,NA,T,sadness,0.9881298542022705
199,"Spending a couple of days in Calgary. It is great to see so much cycling infrastructure being installed! Yes.. there can be more, yes, it can be more connected.. yes, there are gaps.. but, this is better than most cities are getting! #bikefriendlycanada #yycbike",T,NA,,NA,T,NA,T,joy,0.9853563904762268
200,@YEGlifer @cougsta Calgary separates bikes and pedestrians on some of their pathways. It’s the best option in my opinion because it sucks to get buzzed by bikes and it sucks to slow down and weave through a crowd.,T,NA,,NA,T,A,T,anger,0.8807067275047302
201,@Canada_Bikes @DaveBikeSki Yes to coordinated design regulations! There are a lot of things called bike lanes in Calgary that just aren't. Lots of paint and blue signs called bike routes that kids couldn't safely take to school and so many people wouldn't ever dream of using.,T,NA,,NA,T,NA,T,joy,0.9170674085617065
202,@gccarra From Calgary-Banff I agree entirely. But I'm skeptical of adding in that kind of infrastructure to Hwy 93 where nothing like that currently exists. Recent proposals for bike trails from Banff-Jasper have already met significant resistance.,T,NA,,NA,T,NA,T,fear,0.994889497756958
203,"@Matticusssss I have to wonder if the County and\or City of Calgary could facilitate better pathways around the Balzac at-grade crossing - from there, the connection to CrossIron isn't far down RR10\24 St NE.",T,NA,,A,T,A,T,joy,0.9201287031173706
204,"@TinyBeaches Does Calgary need another motion from City Council?

How about holding @yyctransport accountable for failing to deliver the protected bike lanes from YYCCC's earlier motion.",F,NA,,A,F,NA,T,anger,0.7384293675422668
205,"@gccarra @Chealion @Princess_Jules @yyctransport Until #yycbike infrastructure ceases to largely exist in affluent, white #yyc communities it will continue be seen as an elitist endeavour by the majority of Calgarians. Why did it take until 2021 finally to see the first cycle track east of Deerfoot?",T,NA,,NA,T,NA,T,sadness,0.9504808187484741
206,"With the recent #ClimateEmergency declaration by #yyccc we want to see bold #BikesAreClimateAction with build out of the cycletrack network so every Calgarian can access it 500m max from their home.

Be bold, Councillors. Lead the pack. #yycbike https://t.co/rsX70d2wrr",F,NA,,NA,F,NA,T,joy,0.9087886214256287
207,"Now, a presentation on the possible return of a bike share program to Calgary. Background: https://t.co/klspZctPlB #yyccc",T,NA,,NA,T,NA,T,joy,0.9374407529830933
208,"“Since being elected, I’ve delivered 260km of high-quality, safer cycle routes – with construction on another four routes underway”. Words we want to hear from elected Calgary civic officials! Am I right?! 200% increase! #yycbike @ClimateHubYYC @bikecalgary @TheGentYYC #yycvotes https://t.co/Ne7XZEyYym",T,NA,,NA,T,NA,T,joy,0.9728266000747681
209,"@itsrouel @cathmckenna Where I work, 1000k employees, 2 ride their bike to work but not in the winter. Bike lanes all over Calgary, massive amount spent on it and in the winter, lucky to see one guy peddling. 
waste of taxpayers dollars.",F,NA,,NA,F,NA,T,joy,0.9780201315879822
210,"@fabulavancouver @GregorCraigie Calgary benefits from the bike trails along the rivers, canal and creeks as a backbone of their network. Only needed bike land downtown fix the final mile problem.",T,NA,,A,T,NA,T,sadness,0.3912929594516754
211,"@BikeBikeYYC @chrisdoyle78 There are obvious pinch-points &amp; overcrowded sections that need to be addressed on the Calgary pathway system.

It isn't as flashy as some pathway $ being spent, but would go a huge way to alleviating conflicts/close calls.

Also, true bike commuting routes are woefully lacking.",F,NA,,A,F,NA,T,joy,0.8429179191589355
212,"@seanchucalgary @yycchinatown What more money being spent on bike paths?? 
Sean suggest a fee such as a license for the bike that use it. Why should all of Calgary pay for a bike lane? What's percent of citizens that use them",F,NA,,A,F,NA,T,anger,0.8301304578781128
213,@KenBoessenkool @JyotiGondek @ryanjespersen We deserve this Calgary and Edmonton!!  The Deerfoot will be a bike path before this rube is finished.,T,NA,,A,T,NA,T,joy,0.8862417936325073
214,"Instead of investing $500 million in moving people on bikes in Calgary we got a percentage of a boondoggle ring road that locks our city into a further death spiral of car dependency, pollution, and sprawl.

The waste if mind boggling. #yycbike #yyccc #abpoli https://t.co/imT67vLmca",F,NA,,NA,F,NA,T,anger,0.6241620182991028
215,@mikesbloggity Calgary has a long way to go in terms of building the bike infrastructure that would make me feel comfortable taking my children for a ride anywhere off the bike paths.,T,NA,,NA,T,NA,T,joy,0.9987117052078247
216,"I shit you not #Calgary !
The snow just stopped and #yycroads are a mess - nearly no snow or ice control during the fall.
BUT the bike sissy lanes down 3St SW from 26Ave to 17Ave are clear as phk.
Some @cityofcalgary union dullard in new bike lane tractor. 
Bikes seen ZERO! 🤮",F,NA,,NA,F,NA,T,anger,0.9069256782531738
217,Expanding Calgary's protected cycletrack network would not only enable more citizens to choose cycling for shorter trips it would also make space for low carbon delivery vehicles. #cargobikes #yyccc #yycbike #BikesAreClimateAction https://t.co/UNC65GS9Yy,T,NA,,NA,T,NA,T,joy,0.9399568438529968
218,"I’ve said it before and, until other cities catch up, I’ll say it again: Canmore is doing the most progressive transportation planning in Alberta today. If this small mountain town can push the design envelope, you bet your big city can too! #yycbike #yegbike https://t.co/FI4me7Zjdj",T,NA,,NA,T,NA,T,joy,0.9896822571754456
219,@inklessPW @JohnTory In Calgary the bike lanes generally get cleared before the roads. We mostly just wait for a chinook to come and melt the roads because clearing them would be expensive.,T,NA,,NA,T,NA,T,sadness,0.4041578769683838
220,"While this bylaw is welcome it does absolutely nothing to remove the fear that many Calgarians feel about cycling in their neighbourhoods.

If elected would you support investment in expanding the physically separated cycletrack network? #yycbike #yyccc #paintisnotinfrastructure https://t.co/PAQwctu7IX",F,NA,,A,F,NA,T,joy,0.8386531472206116
221,"Alert, the bike talk in Calgary is heating up: SecretaryPete Not everyone who rides a bike has the luxury of having a convoy of Escalades driving them within two blocks of where they are cycling to.Jesse Andersondoesn’t give a fuckFalsehttps://twitter.com/1352036197/status/138386",T,NA,,NA,T,NA,T,joy,0.4583265483379364
222,"@BillionaireDad Damn, so jealous of the amazing Calgary bike paths, enjoy showing your coworkers what's what!",T,NA,,A,T,NA,T,anger,0.9973255395889282
223,@kinsellawarren Just finished a 52.7 km bike ride on Calgary bike paths. No cars.😎,T,NA,,A,T,NA,T,anger,0.39092111587524414
224,"Want to help revitalize the struggling ground level businesses in downtown Calgary? 

Get rid of the damn bike lanes &amp; return the street parking. 

I assure you the c-trains running 80% empty &amp; dominated by addicts are not bringing money downtown.",F,NA,,NA,F,NA,T,sadness,0.9440564513206482
225,@Yanky_Pollak @RebelNewsOnline Same in Calgary pedestrian’s actually walk in the bike lanes in the morning rush hour.,T,NA,,NA,T,NA,T,anger,0.5029550194740295
226,"@bikecalgary Hi, thanks for the feedback Bike Calgary. Any concerns with pathways should be submitted through 311 for attention. Thank you.",T,NA,,NA,T,A,T,joy,0.9659972190856934
227,@nextcalgary @calgarybybike @BluHrGirl @bikecalgary @yycbike2school Calgary has more than 1k km of bike paths but none of these. It would be a great service for the bikers.,T,NA,,A,T,NA,T,joy,0.9986940026283264
228,"@JoeCanada4Life @JohnTory @JoshMatlow Yeah, Nenshi put a bunch of useless bike lanes in Calgary too. It's the progressive thing to do these days.",T,NA,,NA,T,NA,T,sadness,0.9462593197822571
229,"Would also be nice to see more of the pathways on @googlemaps streetview; again, great marketing of one of Calgary’s biggest competitive advantages...",T,NA,,A,T,NA,T,joy,0.9953437447547913
230,@Bret_Sears It going to take awhile to tear out the 200km’s of bike lanes he built. But when Calgary puts their mind to something...,T,NA,,NA,T,NA,T,anger,0.6604406237602234
231,@WaygoodOwen @NACTO Calgary has a small section (5 blocks) with this on Stephen Avenue as part of the cycle track network https://t.co/XkYYBf1tIJ and is getting a facelift soon https://t.co/yON0bf3WEP,T,NA,,NA,T,NA,T,joy,0.9497119188308716
232,"@TeamAdam76 In Calgary, the bikes lanes are shoveled first
Cleared of snow before the roads
Often before daylight
No one uses them
But they're cleared🙄

Who wants to ride a bike in -20 

Insanity!!",F,NA,,NA,F,NA,T,anger,0.7946452498435974
233,"@ryck_nancy We are so ""fucked by the fickled finger of FATE"" These guys cant be serious. Although in Calgary Bike lanes get cleared before Roads even if nobody uses it in minus 30",T,NA,,NA,T,NA,T,anger,0.9977390766143799
234,Opened Shared Pedestrian and Cycling Path - Repair request via web at 550 Point Mc Kay Grove NW Northwest Calgary https://t.co/tc3vdOehpZ. The signage along the pedestrian and bike paths near edworthy park/point mckay is poor or non-existing. daily t...,T,NA,,NA,T,A,T,sadness,0.9793420433998108
235,"@Addleben @cityofcalgary LOL yes I’m a hick, partly kidding but seriously the parking and bike lanes downtown Calgary are a bit ridiculous. I think y’all know already. 40kms is a little silly too why don’t you all get golf carts, very green and more space!",T,NA,,NA,T,NA,T,anger,0.8003211617469788
236,#RFP: Bike Lanes Resurfacing Project The City of Calgary https://t.co/aO2cC1PiMi,T,NA,,NA,T,NA,T,joy,0.8629701137542725
237,@DirtTruckDriver @joe381 @RachelNotley You guys are unserious. We live in a country and province where it's cold more months in a year than it's hot. Roads are supposed to be for cars &amp; I hope all the unrealistic bike lane &amp; walking 247 loving city councilors are all voted out this fall in Edmonton and Calgary.,T,NA,,A,T,NA,T,love,0.6371065378189087
238,Did you know #bikelanes are associated with a 70% decrease in collisions? 😮This bike lane painting project was completed by the EverLine Calgary team! 👏 The project is sure to reduce collisions and improve safety in the #Calgary area. https://t.co/F7mDbSX2wf,T,NA,,NA,T,NA,T,joy,0.9531077146530151
239,@NaomiWong1984 @corkyzhaman Bike lanes in Calgary and Edmonton are awful. My bike ride to work is far more efficient staying on the regular roads.,T,NA,,NA,T,NA,T,sadness,0.6321402788162231
240,"@DruhFarrell @brettbergie I once ran an informal poll, and this was voted the most awkward bike route in Calgary. And now I hear the road was designed with enough space for a bike lane but this was the choice made instead?! 🤯",T,NA,,NA,T,NA,T,sadness,0.9717356562614441
241,Thankful that some of the Calgary immunization sites are on bike friendly routes https://t.co/1yC1Rfc19i,T,NA,,NA,T,NA,T,joy,0.9987909197807312
242,"@Citizen004 Would the last oil company in Calgary please turn off the lights? And don’t take Deerfoot, that’s now a bike lane.",T,NA,,NA,T,NA,T,anger,0.6562857627868652
243,"Hard meh. Calgary's pathways have always had irresponsible users on them, primarily pathletes, and they are still the ones causing the most amount of conflict.

There are lots of issues with our pathway system, with ebikes being near the bottom of that list. #yycbike #yycwalk https://t.co/7FD5pRVNRg",F,NA,,NA,F,NA,T,anger,0.9922428727149963
244,"El mapa de marzo de 2022 es ""La ciudad de Calgary: Pathways and Bikeways Walk and Roll Map 2021"" de la ciudad de Calgary. Obtenga más información sobre cómo GIS ayuda a Calgary con sus esfuerzos activos de transporte: https://t.co/7sRhaZBd2H https://t.co/BG4s1Z8oyD",T,NA,,NA,F,NA,T,joy,0.8542442917823792
245,@bclarkinAB @thismombikes Better design and attention to detail for bike infrastructure (whether it be recreational or commuting) is needed in Calgary.,T,NA,,A,T,NA,T,joy,0.9703481197357178
246,"@AllanCa05826729 @RachelNotley Oh how wonderful. Well let’s put a few more million dollars, plus maintenance, into bike paths for you and your dog and the 12 other people in Calgary that would freeze their junk off in winter, willingly. I’d like a zip line from my house to work too. Can we have that as well?",T,NA,,NA,T,NA,T,joy,0.9985238909721375
247,Congratulations to my friends at  the Affordable &amp; Accessible Transportation table of the @AbAbilityNet and #BikeCalgary on being the recipients of the city of #Calgary’s 2021 Transportation Opportunities award for their work on the Safe and Accessible Pathways panel discussion.,T,NA,,NA,T,NA,T,joy,0.9982556700706482
248,"@AJWVictoriaBC The interesting thing about bike lanes is that bikes are not confined to them, they are free to ride anywhere on the roadway whereas nobody can use those lanes except for the trickle of bikes that you see at most times of the day.  Every city has them too, Edmonton, Calgary etc",T,NA,,NA,T,NA,T,joy,0.9920921325683594
249,I’ve just learned that Alberta governments fold to angry trucker protests. Let’s get some trucks and clog Calgary till we get more bike lanes. Who’s with me?,T,NA,,A,T,A,T,anger,0.9972973465919495
250,@JyotiGondek So I for one would ask that you stick to bike lanes and development permits..both seem to he your forte. And leave the public health mandates to the experts. Thanks again for your service to the citizens of Calgary..,T,NA,,NA,T,NA,T,joy,0.9938198924064636
251,LOVE this. I've been wondering why Calgary's bike lanes aren't colourful ever since I rode on these beauties in Winnipeg three years ago. 🎨 Colour makes everything better! #yycbike #yycwalk #yyccc https://t.co/zcUq3uf97F https://t.co/jx4GQzgd20,T,NA,,NA,T,A,T,joy,0.9970102310180664
252,"@BrentToderian I am pretty sure this was figured out in the Netherlands about 4 decades ago. Waiting for the first real bike path here in Calgary (not open like in the photo, not shared use with pedestrians, not speed restricted to walking pace).",T,A,,NA,T,NA,T,joy,0.9624481797218323
253,"@asadyyc @collenbe @thismombikes @DruhFarrell @wklumpen Earlier on, with Bike Calgary, two key actions in the Cycling Strategy I pushed for were an update to the pathway &amp; bikeway plan and completing a bikeway design guide, to give something tangible, and local, to advocate from. 5/5",T,A,,NA,T,A,T,joy,0.987168550491333
254,We're hoping to hear money is coming to Calgary to build more safe cycletracks! #yyccc #yycbike https://t.co/WJdKzccmNp,T,NA,,NA,T,NA,T,joy,0.9982746839523315
