text,Reeshan - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable,Kirtan
"@asadyyc @collenbe @thismombikes @DruhFarrell @wklumpen Earlier on, with Bike Calgary, two key actions in the Cycling Strategy I pushed for were an update to the pathway &amp; bikeway plan and completing a bikeway design guide, to give something tangible, and local, to advocate from. 5/5",T,FA,y,y,ta
We're hoping to hear money is coming to Calgary to build more safe cycletracks! #yyccc #yycbike https://t.co/WJdKzccmNp,T,FA,y,n,T
"3/ In the big picture, it's at least something (especially when there's members of the #yycbike community posting video of distressingly close passes) however, it's a far cry from any claim of preferential treatment for people travelling by bike in Calgary. We can do better.",T,FA,y,n,T
"@MathKyle Didnt you notice the lack of snow on your bike ride today?

If we ever get snow there are volunteer maintained tracks at Confedration and Shaganappi golf, East village will have a loop by Ft Calgary and the city may do tracks in South Glenmore and Maple Ridge golf",T,FA,n,-,
"I hate Calgary Trail &amp; Gateway Blvd. No loop-transit route or bike lane or multi-use-trail or even sidewalks. Buses lead to LRT stations and terminals, and the frequency isn't even great. Do everyone drive to big box stores? This is so wrong. Anything over 15m frequency is wrong",T,FA,y,n,ta
"@London_Cycles They really have the most amazing subway/train system of anywhere I've traveled. This bike lane system, amazing! So much better then the road butchering we do. #yyc https://t.co/kBl5mxSLTp",T,FA,y,n,T
@Victoria59L Not of you're using the bike lanes in Calgary (actually nobody uses the bike lanes in Calgary so ignore me).,T,FA,y,n,T
"Casually hating on pathways and bike infrastructure is a super bizarre hobby to have in #yyc. The daily *mean* temp here is &gt;10°C all summer, &gt;0°C the majority of the year, and the ground is clear for much of winter due to chinooks. (And those averages include night time temps!)",T,FA,y,n,T
"I am reading the 1200+ comments that the City of Calgary got recently regarding Beltline mobility tracks.

Comments like this surprise me. Not because a person who bikes cares about on-street parking, but because I don't know any #yycbike'r that introduces themselves like this? https://t.co/vXbMqbtJoV",T,FA,n,-,
Really hoping members of #yyccc read this before the #ClimateEmergency debate later this month. Massive reduction in transport emissions is possible. Give Calgarians safe cycling options and they've already proven they will use them. Be bold. #yycbike https://t.co/VOJiy4OAl8 https://t.co/jS9Xvqh9Kb,T,TA,y,n,T
"I've found 4 different international reviewers praising Calgary's cycle paths. A made-in-Calgary solution has put us on the map. Let's build on this accessible, walkable and rideable reputation. https://t.co/29PjI4KS8A  Happy #BiketoWorkDay!  #ErinWaiteWard7 #yyc https://t.co/W2IVUhmWv0",T,FA,y,n,T
"Canada’s cities added COVID bicycling lanes to improve access to jobs, parks, and stores, and they’re liking the results. Congratulations Moncton, Kitchener, Ottawa, Montreal, Vancouver, Victoria, Toronto, Calgary, Winnepeg. https://t.co/LVLQfonCZW",T,FA,y,n,T
Calgary Cycling Infrastructure - Year in Review #yycbike https://t.co/9zH4q0Zr13,T,FA,y,n,T
COVID-19 pandemic has helped make cities more bike-friendly | CBC News #yycbike https://t.co/8oeLKkKuwF,T,FA,y,n,T
"Another note from a ride today is that although the default seep limit on residential streets is 40 kph here in Calgary, it really does not feel any different when being passed on a bike. @cityofwinnipeg needs not to settle and go to the truly safe speed of 30kph @safespeedswpg",T,FA,y,y,T
"@Alex_QC_To @311Toronto @gordperks @Mark_Grimes Would be great to find out what Montréal, Vancouver, Calgary &amp; other cities do with their pedestrian / cycling bridges in the winter. Not clearing them - especially along busy routes such as the MGT - is an accident waiting to happen. #BikeTO #VeloMTL #BikeYVR #YYCbike #TOpoli",T,FA,y,n,T
"@gccarra Calgary's infrastructure for alternate to cars, (bikes/e-bikes/walking) is one of the worst I have seen anywhere. And I am being generous when I say worst. It made me cling to my life every time I rode a bike there.",T,FA,y,n,T
At least I rode my bike down there to find out they're not taking walk-ins so I got a #yycBike out of it on a sunny day. There are a whole bunch of temporary bike racks on Stephen Ave across from the line.,T,FA,y,n,T
@Pippishortpants @Midnightrider98 Same here in Calgary.  Except for just off of downtown I've never seen a cyclist in the other bike lanes.,T,FA,y,n,T
"The weather is getting nice! We are so excited about Calgary's bike paths! Whose ready to get out and use them? 
@LiveWireCalgary @BluHrGirl @commit2commute @asadyyc @twowheelview @yycbike2school 
https://t.co/JfZTIUu62F
#bikes #paths #sustainable #yycbike #cycle #spring #transit https://t.co/a3f9GqVa2M",T,FA,n,-,
"The Trans Canada Highway closure west of Field BC has created a cycling paradise, at least for a little while. #yycbike #yegbike https://t.co/JgVqcaFFbd",T,FA,y,n,T
"A lesson on infrastructure sequencing for Calgary. New suburbs provide needed housing stock, but are inefficient, unsustainable and car-oriented. Can we update our processes to allow transit and bicycles first?  #yyc #yycplan https://t.co/PExAF8LU8f",T,TA,y,y,ta
@brettbergie They have posted a huge map of Calgary’s pathways and bike routes on their wall. So awesome!,T,FA,y,n,T
"@TinyBeaches With all the work being done around highway 8, it would be a rounding error on the budget to include a dedicated bike lane between Calgary and Bragg Creek",T,FA,y,n,T
@itsakev But not connected to #eastcalgary communities and #yycbike cyclists. Coming from @millicanogden I would have to travel thru Inglewood and Manchester (or Mission) to ‘safely’ connect with this path. @gccarra,T,FA,y,y,T
@GG37374104 Ask the same question about Calgary. Especially since bike lanes and pathways get priority in the winter when it comes to snow removal. The cars pile up but those pedestrians and bikers are safe. 🤬,T,FA,y,n,T
"Hi @CalgaryParking, how is your bike lane related tickets tracking compare to last year?  Toronto is up by 198% in 2021 compared to 2020. 

#YYCBike https://t.co/9mGrL6ikdJ",T,FA,n,-,
"@tomflood1 Anger is justified at the person riding on the sidewalk when half the parking spaces in the downtown core were removed to make bike lanes that are literally 5 feet over &amp; you still have assholes weaving between pedestrians at high speed but maybe you've never been to Calgary, AB.",T,FA,y,n,T
"If our new #yyccc council is serious about meaningfully tackling the  #climatecrisis they can start immediately by investing in cycling. 

Here's a goal: Every Calgarian should be able to access the cycletrack network within 500m of their home. #yycbike https://t.co/6jCLAqokwj https://t.co/YE9avJubDW",T,TA,n,-,
No surprise a similar bike loving group impede traffic in Calgary every work day. https://t.co/wPJZkBILdl,T,FA,y,n,T
Bikers peddle idea for a permanent cycle path on University Drive - LiveWire Calgary https://t.co/2jzS3VQ1fX #yycbike https://t.co/u34isjlvzP,T,FA,y,n,T
@CaffeineSociali @JeromyYYC HUH? Extreme left wing mayors have left Calgary in shambles. But the nicest bike lanes in the country!,T,FA,y,n,T
ConnecTour Chronicles: Calgary bike trails a bridge between city and nature https://t.co/VQEOoyIDPk,T,FA,y,n,T
"Calgary gets improved snow &amp; ice control and pedestrian safety in 2022 #CityBudget. My motion passed to clear Priority 1 roads, pathways &amp; bike lanes faster, thus increasing safety and accessibility for all. $.96/mth extra to average tax bill. #YYCCC #YYC #LoveYYCw7 #Ward7",T,FA,y,y,T
Calgary’s Municipal Development Plan is ultra conservative in terms of bike mode share targets over next 40 years . Ghent Copenhagen Paris etc show it doesn’t have to be. We can do much better. It’s not rocket science - political will and budget https://t.co/AZ036nkKmV,T,FA,y,n,T
"12 years ago we opened ""Calgary's Citizen Cyclery"" with the goal of bringing a little bit of practicality to Alberta's streets. 

Yuba was there with us then and we're so glad they're back. https://t.co/U7c0BSB9Ik #yycbike #yegbike #EverydayAdventures #ToTheGroceryStoreAndBeyond",T,FA,n,-,
"@CoryBMorgan Just so you know, a lot of them think bike lanes are fucking retarded too.  I was a bike courier in Calgary for 20 years, there's even cyclists that would agree with you on most of the typical Albertan topics",T,FA,y,n,T
"We've shown we can build protected intersections in Calgary however, there's no formal City design guidance I'm aware of and no news on the AB Bicycle Facilities Design Guide project. Maybe this is worth considering? #yycbike @bikecalgary https://t.co/SwigH1sTTE",T,TA,y,y,T
@yknot05 Calgary has over 700 kms of walkable pathways. We already have these spaces.,T,FA,y,n,T
"@Matticusssss @BluHrGirl @harryliketefish @311calgary I understand the occasional loading zone, but sticking a parking zone in the middle of a bike lane is peak Calgary",T,FA,y,n,T
"@DaveLikesBikes @CanadaRobin @Matticusssss If ever in Calgary, please let us know. We have a red carpet bike lane rolled up but ready for use.",T,FA,y,n,T
Perhaps a more practical - and perhaps even more equitable action Calgary could take would be to build out the cycletrack network such that every Calgarian lives 500m from it. #equity #safety #health #transport #yyccc #yycbike https://t.co/APaWCxRaP9,T,TA,y,y,T
"Cycling in #yeg winter - get a fat bike with studded tires just because the City can't maintain the bike lane &amp; active transportation network, not as properly as Calgary Trail &amp; Gateway Blvd.",T,FA,y,n,T
@TristinHopper Bike lanes cost millions in Calgary to set up so it’s not free,T,FA,y,n,T
"@ElleninEdmonton @Jantafrench In Calgary, if you follow the bike paths, once you get into residential there are signs in the neighbourhood to let you know where to go, wherever you want to go",T,FA,y,n,T
I should say also we still have work to do to allow someone to tour the Calgary murals leisurely and safely on bike as I found I could do in Montreal. We'll get there! https://t.co/Uzxlz8p5gN,T,TA,y,n,ta
"@AlbertaatNoon @EWoolleyWard8 @ben_hen A non-e-bikeshare program, with dedicated bike return stations, would be much better in Calgary. They'd be safer, cleaner, and more useful. Leave the sidewalks to pedestrians please!",T,TA,y,y,ta
"Well done Calgary. These make riding a bike safer. #yyc #yycbike @ Calgary, Alberta https://t.co/BwkuZuQXOt",T,FA,y,n,T
"Get busy building cycletracks, Calgary! #BikesAreCimateAction #yyccc #yycbike @JyotiGondek @CWalcottYYC @gccarra https://t.co/5xJarPbItR",T,FA,y,n,T
"@ChefAlex @Mayor_Bowman @SherriLRollins It's a major thoroughfare through a high density shopping area, like Inglewood in Calgary. 😵The bike lane that just right turns into the curb coming over the bridge",T,FA,y,n,T
"Route finding is essential for pathways. On roads there are signs at every corner; on pathways there is mostly nothing. It's high time we had better pathway signage in Calgary. Look how London does it.
#yycbike #yycwalk @calgarybybike

https://t.co/dYFNrukvsu",T,TA,n,-,
"Great video from @notjustbikes on speed limits. Calgary’s big move on neighbourhood speed limits wasn’t going to 40km/h, though that’s a real win, but unlocking better street design and the direction to now design to 30km/h going forward. https://t.co/2HsSIHViW4 #yycwalk #yycbike https://t.co/Z41thyxneZ",T,TA,y,n,T
You really need to change this. How are kids supposed to get to school with their bikes? #yyccc #yycbike Please? Edmonton lifted time restrictions! https://t.co/DePysML01s,T,TA,y,n,T
10 Epic Bike Pathways in Calgary | @EricHarviePE | https://t.co/lUN8C9bkIN,T,FA,y,n,T
"Thanks for the #yycroads traffic snarl @CanadianPacific 
Time for trains to moved outside urban centres.
#Calgary 42Ave S.E. https://t.co/YTrzeQKs9J",T,FA,n,-,
"Oooh, I like this (see the second tweet in the thread to appreciate its value). Of note, there’s no provision in Calgary bylaws to block a bike lane, not to load or unload passengers/parcels, not to run into a business quickly, not to take a phone call. Don’t block bike lanes. https://t.co/BZ2fOaoRwT",T,FA,y,n,ta
"Dave, you’ve perfectly illustrated what we should do for 10 St NW in @kensingtonYYC in Calgary 🇨🇦. Look there is even a bike shop! Let’s build wealth on this #MainStreet @StrongTowns style. @HillhurstSunny @YYCTKW https://t.co/hFhkgLjAHi https://t.co/s1NEYaDjU3",T,FA,y,n,T
"Some nice improvements in Calgary lately, but Edmonton is still winning the Battle of Alberta: Active Transport Infrastructure edition. #yegbike #yycbike https://t.co/it8656l0cl",T,FA,y,n,T
"Alert, the bike talk in Calgary is heating up: We have never been in a lockdown, only shutdowns. I have been able to freely go on bike rides without concern of enforcement checks.

We need more shutdowns and financial support DIRECT to people's wallets, not through employers or c",T,TA,n,-,
@YahooZRM @MoneyMaceFGC @BarkyBoogz Here in Calgary they'll do that shit on the bike paths,T,FA,y,n,T
@Penalosa_G @peopleforbikes I was living in Calgary in 1989 and we had already abundant and safe bike routes! Alejandro Carvajal a.carvajal@colonia2go.de,T,FA,y,n,T
"""CYCLISTS DISMOUNT. PLEASE USE SIDEWALK"". The City of Calgary may as well just adopt this as one of their formal #yycbike cycling policy statements, since it's so commonly used. https://t.co/2Vi0ndN7Cb",T,TA,y,n,ta
"@TomBabin Many bicylists do not follow rules of the road, their bike lanes (rarely used especially in Calgary) now encroach on car lanes and convenient parking options(espically for the elderly). No license plates, no registration fees, no ticketing,....with such a gratuitous narrative.",T,FA,y,n,T
"@rexglacer Well if they were lined up on the road in Calgary, at least they would be standing in a nice clean/sanded bike lane!!",T,FA,y,n,T
@jarvisschmid You would think all these companies would choose Calgary instead because we have bike lanes!,T,FA,y,n,T
"@cochranenow Oh good Lord! I almost got ran over by these several times near my office in downtown Calgary. Please keep them off the sidewalks in Cochrane, let them go in the bike lanes.",T,TA,y,y,T
"@spokesmama @vpsn Fun fact: a major valley bottom bike lane in Calgary that goes past one of our premier bike shops does in fact have angle parking on both sides.
I hate it.",T,FA,n,-,
"@drdagly @CityofEdmonton I know, we just got a new bike lane in front of the office in Calgary.  With this snow/ice mixture no one has been by to clean it.  Sun does the job.  It has to be frustrating for the commuters!",T,FA,y,n,T
"@RealBudgetBoss @ct_degroot @bromptonymous Agreed.   My opinion is that the transition can be easier than people think.   Hopefully more will figure this out.  I currently live in Calgary very close to downtown, a bike works just fine here.  My five hundred acre farm in Ontario that is 7 km from town, maybe not so good :)",T,FA,y,y,T
Bike-friendly city showdown compares Amsterdam with Calgary | @TomBabin / @notjustbikes https://t.co/3oqPZ1O0aA,T,FA,y,n,T
"Join the discussion on “Safe and Accessible Pathways” in Calgary, to explore ways in which we can make our pathways enjoyable, safe and fun for all. #NAAW2021 #NAAW
https://t.co/CBDIwt3oJO @Eventbrite",T,FA,n,-,
"Canadian Bike YouTube has crushed making the case for winter biking lately!

Shifter notes Calgary learned from mistakes &amp; got better at snow removal... lesson for NYC, where greenways are managed separate from street lanes &amp; some are snowbound for days

https://t.co/njKDXnYc5e https://t.co/0aDcFCegAI",T,FA,n,-,
Bike-friendly city showdown compares Amsterdam with Calgary | Collab wit... https://t.co/SvuYdr6Mm4 via @YouTube,T,FA,y,n,T
"Dropped my bike at @BikeBikeYYC for pre-season service and now I’m walking back home.

I long for those periods when Calgary had bike-share and street cars. https://t.co/jpGwW11Lns",T,FA,n,-,
ConnecTour Chronicles: Calgary bike trails a bridge between city and nature - Troy Media #Calgary #Transit #YYC https://t.co/rn3YSgv4XG,T,FA,y,n,T
@CoryBMorgan I think converting downtown calgary parking to bike lanes has increased GHG emissions as I drive around looking for a place to park.,T,FA,y,y,T
@FranManns When Calgary Council was doing their bike lane “pilot” to assess demand I watched a guy circle the block about 300 times to run over the counters. All their numbers were bullshit.,T,FA,y,n,T
"Calgary has planned, constructed, and maintained the most extensive urban pathway and bikeway network in North America with approximately 1,000 km of regional pathways, 96 km of trails, and 290 km of on-street bikeways and cycle tracks.   
1/",T,FA,n,-,
The right spin for a bike network. Let’s push for Calgary to Bragg Creek to Canmore as part of the ⁦@TCTrail⁩ 🇨🇦 and then on from Lake Louise to Vancouver! And Jasper! https://t.co/MdXZiTg2Xu,T,FA,y,n,T
Wishing Calgary would go red for it’s cycleways.  So much better!  Nice work Canmore! #yycbike https://t.co/0Riit96J5A,T,TA,y,n,ta
"@jason_chadney I feel like we had an election where there were lots of anti-bike options. They lost. Bring on the future. Also, you can bike year round in Saskatoon and I'd be happy of we could catch up with Calgary (not Vancouver).",T,FA,y,n,T
"An idea for reinvesting Calgary's $100M budget surplus for 2020: fitness/calisthenic parks along bike paths. Particularly true of post-C19, opportunities for recharging one's fitness and health should be accessible to all. #yyc #Calgary #fitness",T,TA,y,y,ta
Bike to Work Day 2021 - Bike to Work Day Calgary https://t.co/MDDzWrENna,T,FA,y,n,T
"@noelkeough When city council approved Calgary's cycling strategy in 2011, it set an ambitious goal: build 30 km of separated cycle track by 2020. 

Calgary is nowhere close to meeting key 2020 targets... In total the city has built 7 km of cycle track citywide...

https://t.co/dB4HdbScnz",T,FA,n,-,
This is good and they also mention the availability of bike racks. Good work Calgary. @carrie_hotton I wonder if @takeETSalert will do same? https://t.co/jUTDFMZS0h,T,FA,y,n,T
"@CharlesBodi Oh so hey, last night from 11pm until past 2 am street cleaning trucks were up and down 2nd St here in Calgary, and I'm what the h-e-double 🏒🏒 GET THIS you're gonna love this because of the damn bike lanes and concrete curbs along the street cleaning took hours. I mean HOURS 🙄 https://t.co/dpp4NcDzsY",T,FA,y,y,T
"We also need a much better designed city which is also safe for women. In Calgary it is silly, not enough sidewalks, and many sidewalks &amp; crossing areas here are poorly designed and badly maintained! This city needs a serious overhaul re pathways and public transit.",T,TA,y,n,T
"We can imagine a Calgary where cycling conditions across the city are safe enough that the majority of citizens could choose cycling once a week, for short local trips. Totally achievable, with myriad knock-on benefits, requiring relatively modest investments in #yycbike network. https://t.co/0vTahhEFOz",T,FA,y,n,T
In Vancouver bike lanes are wider than traffic lanes #yycbike #yvrbike https://t.co/7K1Ea0fDEd,T,FA,y,n,T
"@ASKdesignCSI I’ll be back to visit. Hope to be pleasantly surprised by the increase in bicycle infrastructure. Actually, also kinda hoping a pathway from Nelson to Calgary will be built. 😬#dreams #yycbike",T,FA,y,n,T
"It matters not how far Boston is from Calgary, I celebrate every bike infrastructure improvement. Good ideas spread. Today's win in Boston is tomorrow's win in Halifax and then Ottawa, Toronto, Winnipeg, and Calgary after that.👏👏👏 https://t.co/DBhychHAUL",T,FA,y,n,T
"@morganlanigan Yup.

Traffic Calming and bike lanes don't need to be expensive.

Even Calgary has a much larger budget, they still spend it wisely:
https://t.co/v6vAg8o1ya",T,FA,n,-,
"Alert, the bike talk in Calgary is heating up: Great collection in the article - awesome rides!  Greenway at the north end is down to 1.5 km gravel to get under Stoney... check out the Calgary Bike &amp; Pathways app for up to date trail status info - closures, construction, etc. htt",T,FA,y,n,T
"#yyc #yyccc @CBCEyeopener @bikecalgary #yycbike 

@electrobarn we should schedule a date for Calgary biking supporters to go canvas @seanchucalgary’s ward before the election. 

The guys not fit to serve on council - bikers would be doing Calgarians a BIG favour! @DuaneBratt https://t.co/svZcCiwIWm",T,TA,n,-,
"With restrictions lifting, look at how busy Calgary's pathways are. #yyc https://t.co/nnEVcsXixO",T,FA,y,n,T
"@alex_benzie @Cobylefko Here's the developer's website w/ plans. There are 20 homes with 20 garages and 2 visitor parking stalls along the lane (is calling them 'stalls' unique to Calgary?). It looks like the location's walk score is 34, transit score is 40, and bike score is 81.
https://t.co/YoO0XXZDCB",T,FA,n,-,
"Planning on testing out how ""great"" our #Calgary pathways are. I've heard from many the moment you cross over Deerfoot, it all goes to shit. #WorldBicycleDay #DeerfootDivide",T,FA,y,n,T
Not too impressed with the bike rack situation at the Calgary Co-op on 85th St SW @CalgaryCoop #yycbike https://t.co/xR7zzzEZjs,T,FA,y,y,T
It sounds like Airdrie is doing some studies on a bike pathway to Calgary. Connecting through #Ward3yyc to the Ward 4 Nose Creek Pathways sucks. Candidates - how will you champion Nose Creek pathway connectivity in Ward 3? @jasmine_mian @gurbirward3 @NatePike @BrentTrenholm https://t.co/vrrXqXsvxT,T,FA,y,y,T
"It’s great to see Calgarians expending some of their pent-up energy by getting outside and being active! And, because we’re opening up streets like Memorial Drive to people, they can spill out from busy pathways and still stay physically distanced. #yycwalk #yycbike https://t.co/Op0tspiYWb",T,FA,y,n,T
Pretty treacherous on the sidewalks in downtown Calgary right now. Better to ride your bike. https://t.co/jhzCNjU85F,T,FA,y,n,T
@PopsCerealStan Here in Canada (Calgary) we have bike lanes and they actually share road lights so they get their own turning signal.,T,FA,y,n,T
"This is perfectly fine, because why would anyone bike 3km to get to a bike trail in Calgary?",T,FA,y,n,T
Has there been a significant shift to cycling as a mode share into downtown (as people avoid transit etc)? Could also be an increase in recreational rides travelling through the core? #yycbike #yyccc,T,FA,y,y,T
@CoryBMorgan Stalk Calgary’s bike lanes for a likely victim 😂,T,FA,y,n,T
"Care about how your communities can help change our city? Tomorrow night is the turn of Mission - Cliff Bungalow and there are many different organizations supporting this conversation, including Bike Calgary! https://t.co/2iyOdPRMpt",T,FA,y,n,T
"THE GUNN SHOW:

Residents of Calgary and Edmonton have voted for more bike lanes, bad art, lower speed limits, higher taxes and expanded recycling programs.

@SheilaGunnReid speaks with @wmcbeath

https://t.co/8YNVecwmVh",T,FA,n,-,
"A beautiful 1eh day #bowvalleyparkway #banff #cyclingbanff #yycbike #cervelo #mybike #cervelocaledonia #castlemountain #roadslikethese @ Banff, Alberta https://t.co/LEiDcerwI6",T,FA,n,-,T
"When I first got to Halifax, I found cycling a bit stressful. I was definitely spoiled by Calgary's incredible bike network. But I've been pushing myself to keep getting out there and finding pathways, roads, bridges, ferries, and yes, sidewalks, that work for me! https://t.co/kuJH7skSHk",T,FA,y,n,T
"Calgary project turns kids into urban planners to improve transportation.  Active school commutes help traffic, well-being and the environment. https://t.co/tGx6ldJifN @SustainableYYC #yyccc #yycroads #yycbike",T,FA,y,n,ta
"@CoryBMorgan Downtown driving in Calgary on a dark winter morn dodging the bike riders who do whatever they like, whenever they like, wherever they like. Not all, but many. A poorly managed sh1t show that did more to create chaos than a good green initiative.",T,FA,y,n,T
"@ShawnMenard1 Our street looks like it was hit by a meteor shower. Please compare tax rates to places like Calgary, Edmonton, Winnipeg, which all do not have the NCC managing huge bits of their infrastructure, yet have bike paths etc. and lower taxes by a huge margin.",T,TA,y,y,T
@yyc_roman @brettbergie when dozens or hundreds of cars have to wait so one cyclist can go first at a green light is a clear disadvantage. Whoever designed Calgary's bike lane was both incompetent and ineffective. Clearly that's the case given the poor planning. Or they don't want people using cars. :(,T,FA,y,n,ta
"@rwmacleod @dwallacewells @ElizabethMay Calgary, Alberta (where we are headquartered) has hundreds of kms of bike lanes - perfect for 1/2 the year for fit people. Not so much in winter. https://t.co/9UjbWt7bUD",T,FA,y,y,T
"Choosing to cycling once a week offers Calgary a huge transport emissions reduction opportunity. 

Calgary needs to make it easier for people to choose safe cycling for everyday errands. #yycbike https://t.co/VOJiy4OAl8",T,TA,n,-,
@missurbanist Love this.  Sunday I took a ride through my old suburbian hell neighborhood.  My soon-to-be ex-wife and I lived there for 5 years and hated it.  Transit to downtown Calgary from here is 1 hour 45 minutes.  Ha ha.   From my new place I bike downtown in about 7 minutes. https://t.co/0XQEkWOPAh,T,FA,y,y,T
"S/O to the #yycbike guys and gals on fat bikes who forged through the snow before me. I take this shortcut past Calgary's second tallest tower. Also, pathway beside Zoo on north side of the Bow is still snowpacked. https://t.co/IqulC0LUzL",T,TA,y,y,T
@S_HastingsSimon And ignore the signed 10 km/h speed limit segments on Calgary pathways. 👍,T,FA,y,n,T
"@bikecalgary #Calgary needs more of this. Also, where can low income people get a bike?🤔 https://t.co/zSMEzcpxht",T,TA,y,n,T
"@drdagly Standing on 14th St &amp; 50th Av NW in Calgary, I looked up, &amp; there was a person about 20ft in the air. It's a place where there's a downhill stretch of bike path, &amp; no sightlines for cars entering 14th St from alleys. A recipe for disaster in a town where nobody follows this rule.",T,FA,y,y,T
"Also 3 months of the year, the average daily high temperature is below freezing, and Calgary typically gets a decent amount of snow. If Calgary, the literal oil/gas headquarters of Canada, can build bike lanes to facilitate reductions in car travel, why can't your city?",T,TA,y,n,T
"@Franktmcveety And yet the City of Calgary divvy up all the streets of Calgary for the workforce, that has been greatly reduced. If I see one person in a bike lane, it’s too much 😳",T,FA,y,n,T
"The pandemic hit all city centres who rely heavily on suburban commutes &amp; single modes of transport extra hard. So Calgary's new downtown strategy is to spark way more residential conversions, bike lanes &amp; green space.  @DowntownWpgBIZ @centreventure. https://t.co/HJksOLHtQK",T,FA,y,n,T
"I rode my bike up the worst stroad in my city (Macleod Trail) to get to the heart of its loathsomeness. Come along for the ride.
#yycbike #yegbike #velomtl #bikeTo #yvrbike #bikenyc #bikewpg
https://t.co/uZgOMBjZnQ",T,FA,n,-,
@SaveCalgary I hope the winning candidate knows the ONLY way to revitalize downtown YYC is to triple the bike lanes and charge the same extortionist parking fees to the climate saving pedal bikes. Calgary - Be Part of the energy - Literally,T,TA,y,n,T
Jonathan van Heyst with Bike Calgary is urging council to boost spending on snow and ice clearing for sidewalks and pathways to ensure safety for pedestrians/cyclists and Calgarians with disabilities. Bike Calgary says snow clearing is a top issue.,T,TA,y,n,T
"Hmm, this seems odd. Calgary and Edmonton more bike-friendly than Vancouver or Victoria? Awaiting commentary on this. https://t.co/J4E6mPFwB9",T,FA,y,n,T
"You know what that means #yycbike? You can ride from Lake Louise to the closure and back and there's barely any traffic. Link it up with the 1A too, if you've got the legs! https://t.co/cbRddBRVII",T,FA,y,n,T
"@DSBW2MM Is the 40km max only for motor vehicles or does it include bikes? Do riders follow the rules of the road? Where are the bike lanes? If Palm Springs can have dedicated bike lanes in every neighbourhood, so can Calgary! Time to licence bike riders, issue plates &amp; require insurance.",T,TA,y,y,T
"Bright illustrations of cycling animals along bike route meant to slow traffic and bring colour to Crescent Heights, Renfrew - Calgary Herald #Calgary #Transit #YYC https://t.co/5tcEuJfVjX",T,FA,y,n,T
"My friend Nathaniel is cycling across Canada &amp; chose Calgary on his adventure'

#dyk Calgary has 1000+ km of urban pathways? His blog:  https://t.co/desoqRcZZS

Explore my platform: https://t.co/B1EmZQGDEA 

#ward5 #yyccc #calgary #election #oct18 #votemerali #voteyyc https://t.co/ACQIre8AT0",T,FA,n,-,
"Would anyone be interested in helping me set up a map of those frustrating bike gates on Calgary paths? I'm not the techiest, but I would love to piece together where these are so we can advocate for safer and wheel-friendly replacements.",T,TA,y,n,T
@brent_bellamy Too bad Winnipeg tore up most of its railway lines and never put in light rail trains like Edmonton and Calgary on them. One goes right up Gateway now it’s a bike and foot path that goes miles! Could have been a great LRT. Plus many others,T,FA,n,-,T
"@NickPiers @CBCNS Calgary is pretty decent for that, lots of bike lanes and such",T,FA,y,n,T
"@ellejayjoseph Fascinating stats, thank you. I’d love to see the trails extend to the communities around Calgary as well. Believe it or not, #Airdrie has an active cycling community wanting pathways into Calgary, but there are no safe connections. Who wants to ride on the shoulder of qe2?",T,TA,y,y,T
1/ What frameworks and resources currently exist in Calgary for improving the walkability and accessibility of our neighbourhoods? @cityofcalgary @jyotigondek @jeromyYYC @bradfieldyyc @jandameryYYC #yyccc #yyc #yycwalk #yycbike,T,TA,y,n,T
"@Chealion @Princess_Jules @yyctransport Princess Jules, people who cycle more than drive subsidize drivers with the property taxes they pay. Taxes pay for car infrastructure orders of magnitude more than they pay for #yycbike infrastructure. Plus we don’t collect enough taxes to fully pay for the roads we have.",T,FA,y,y,T
"@DaleCalkins @bpincott @JyotiGondek @JeffDavisonYYC @cityofcalgary It is a shame to think that the city of Calgary won't offer more bike parking racks despite spending more than $300 M on the New Flames arena.

Hoping that maybe new city council can fix this.",T,TA,n,-,
"@KyleTWN @private83186729 Also shows that we have LOTS of pathways in Calgary - downtown ones by the river tend to be crowded ""The City maintains approximately 1000 km of regional pathways and 96 km of trails."" https://t.co/71C7KAEvTH",T,FA,y,n,T
"Would be great if cul-de-sac signs in Calgary could indicate when a through connection exists (via pathway or walkway) for people walking or cycling.

https://t.co/AB7bXDcxDR

#yycplan #yycbike",T,TA,n,-,
"@doug_schweitzer @nenshi good riddens!.you have damaged the entrepreneurship and business in our city and destroyed downtown. Your bike lanes and heavy increases in business taxes have resulted in businesses leaving downtown in droves, and Calgary as a whole. Reckless spending &amp; ridiculous taxes",T,FA,y,n,T
"@TinyBeaches Definitely. And, IMO Calgary needs to re-institute the position of Cycling Coordinator, with a cross-department mandate, i.e. so the role covers bikeways &amp; pathways. They then need to hire a great candidate, like before.",T,TA,y,y,ta
@liveablestreets @DaleCalkins Now someone just needs to explain the difference between the red bike paths in Canmore and the red decorative concrete that looks like bike paths on some Calgary road &amp; sidewalk projects. 🤔,T,TA,y,n,T
Great overview - have you seen the kind of institutional inertia described in Calgary preventing something like this from getting off the ground? Friends have used bike index but I guess I’m skeptical it helps nearly as much without wider buy-in. https://t.co/3TQkUdGliL,T,FA,y,n,T
"Another awesome video from @TomBabin: How disconnected bicycle routes are ruining the bike-friendliness... https://t.co/Y09QShrdIC 

His Edmonton Tr example was on the top of my list! 🚲 #YYCBike",T,FA,n,-,
